movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
11,Star Wars,1977.0,6778.0,8.1,42.149697,"['Adventure', 'Action', 'Science Fiction']","{'+android+': 1, '+capture+': 1, '+effort+': 1, '+empire+': 1, '+evil+': 1, '+galaxy+': 1, '+hermit+': 1, '+jedi+': 1, '+justice+': 1, '+lightsaber+': 1, '+planet+': 1, '+rebellion+': 1, '+rescue+': 1, '+smuggler+': 1, '+stormtrooper+': 1, '+totalitarian+': 1, '1980_to_1990': 1, 'actorcarriefisher': 1, 'actorharrisonford': 1, 'actormarkhamill': 1, 'beautiful+princess': 1, 'composerjohnwilliams': 1, 'death+star': 1, 'directorgeorgelucas': 1, 'galactic+war': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'held+hostage': 1, 'producergarykurtz': 1, 'producerrickmccallum': 1, 'rescue+mission': 1, 'restore+peace': 1, 'runtime_above_110': 1, 'space+opera': 1, 'the+force': 1}",36.0
1891,The Empire Strikes Back,1980.0,5998.0,8.2,19.470959,"['Adventure', 'Action', 'Science Fiction']","{'+android+': 1, '+capture+': 1, '+empire+': 1, '+evil+': 1, '+jedi+': 1, '+lightsaber+': 1, '+rebellion+': 1, '+stormtrooper+': 1, '1980_to_1990': 1, 'actorcarriefisher': 1, 'actorharrisonford': 1, 'actormarkhamill': 1, 'composerjohnwilliams': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producergarykurtz': 1, 'runtime_above_110': 1, 'space+opera': 1, 'the+force': 1}",20.0
1895,Star Wars: Episode III - Revenge of the Sith,2005.0,4200.0,7.1,13.165420999999998,"['Science Fiction', 'Adventure', 'Action']","{'+empire+': 1, '+evil+': 1, '+galaxy+': 1, '+jedi+': 1, 'composerjohnwilliams': 1, 'death+star': 1, 'directorgeorgelucas': 1, 'galactic+war': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerrickmccallum': 1, 'runtime_above_110': 1, 'space+opera': 1}",14.0
1892,Return of the Jedi,1983.0,4763.0,7.9,14.586087,"['Adventure', 'Action', 'Science Fiction']","{'+jedi+': 1, '1980_to_1990': 1, 'actorcarriefisher': 1, 'actorharrisonford': 1, 'actormarkhamill': 1, 'composerjohnwilliams': 1, 'death+star': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'space+opera': 1}",12.0
1894,Star Wars: Episode II - Attack of the Clones,2002.0,4074.0,6.4,14.072511,"['Adventure', 'Action', 'Science Fiction']","{'+evil+': 1, '+galaxy+': 1, '+jedi+': 1, 'composerjohnwilliams': 1, 'death+star': 1, 'directorgeorgelucas': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerrickmccallum': 1, 'runtime_above_110': 1, 'space+opera': 1}",12.0
1893,Star Wars: Episode I - The Phantom Menace,1999.0,4526.0,6.4,15.649091,"['Adventure', 'Action', 'Science Fiction']","{'+evil+': 1, '+galaxy+': 1, '+jedi+': 1, 'composerjohnwilliams': 1, 'directorgeorgelucas': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'producerrickmccallum': 1, 'runtime_above_110': 1, 'space+opera': 1}",11.0
140607,Star Wars: The Force Awakens,2015.0,7993.0,7.5,31.626013,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","{'+android+': 1, '+empire+': 1, '+evil+': 1, '+jedi+': 1, '+stormtrooper+': 1, 'composerjohnwilliams': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'space+opera': 1}",11.0
330459,Rogue One: A Star Wars Story,2016.0,5111.0,7.4,36.567575,"['Action', 'Adventure', 'Science Fiction']","{'+galaxy+': 1, '+jedi+': 1, '+rebellion+': 1, 'death+star': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'space+opera': 1}",9.0
168,Star Trek IV: The Voyage Home,1986.0,490.0,6.9,12.596956,"['Science Fiction', 'Adventure']","{'+galaxy+': 1, '+justice+': 1, '+planet+': 1, '1980_to_1990': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1, 'space+opera': 1}",8.0
1924,Superman,1978.0,1042.0,6.9,15.460102,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","{'+galaxy+': 1, '+planet+': 1, '1980_to_1990': 1, 'composerjohnwilliams': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'runtime_above_110': 1}",8.0
74849,The Star Wars Holiday Special,1978.0,81.0,3.2,4.099014,"['Adventure', 'Comedy', 'Family', 'Science Fiction', 'TV Movie']","{'+jedi+': 1, '+planet+': 1, '1980_to_1990': 1, 'actorharrisonford': 1, 'actormarkhamill': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'space+opera': 1}",8.0
